T_s,Z_max,Z_min,Z_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,Part_String,Y_Distance,Part1,Part2,Part3,Part4,Piston_Rod,Gear_Part,Gasket,Pulley
176.915,0.927187,0.887032,0.905914,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0641996,0,0,0,0,0,0,0,0
176.93,0.927187,0.887032,0.905914,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,5.96046e-08,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.935,0.921438,0.887042,0.905035,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.945,0.938408,0.886542,0.906642,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.955,0.938408,0.886542,0.906642,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.965,0.938408,0.886542,0.906642,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.975,0.938043,0.887387,0.906551,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,0,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,5.96046e-08,gear_part,0.0792996,0,0,0,0,0,0,0,0
176.985,0.926973,0.887644,0.906059,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
177,0.926973,0.887644,0.906059,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
177.005,0.92987,0.88522,0.90587,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,5.96046e-08,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,0,5.96046e-08,0,5.96046e-08,0,0,5.96046e-08,0,0,5.96046e-08,0,0,0,0,0,0,5.96046e-08,0,0,0,0,0,0,0,0,0,0,0,0,5.96046e-08,0,0,0,0,gear_part,0.0792996,0,0,0,0,0,0,0,0
